Waiting for logger
Logger started
Register: tagionwave logger

Register: heartbeat logger

Register: local-tagion logger

Register: discovery logger

Register: discovery-internal logger

Register: dart.sync logger

Register: tagion.dart logger

1673363246 | WARN  | local-tagion: Sender not found
1673363247 | WARN  | local-tagion: Sender not found
1673363260 | WARN  | local-tagion: Sender not found
1673363261 | WARN  | local-tagion: Sender not found
1673363262 | WARN  | local-tagion: Sender not found
1673363264 | WARN  | local-tagion: Sender not found
1673363266 | WARN  | local-tagion: Sender not found
1673363267 | WARN  | local-tagion: Sender not found
1673363270 | WARN  | local-tagion: Sender not found
1673363272 | WARN  | local-tagion: Sender not found
1673363274 | WARN  | local-tagion: Sender not found
1673363275 | WARN  | local-tagion: Sender not found
1673363276 | WARN  | local-tagion: Sender not found
1673363277 | WARN  | local-tagion: Sender not found
1673363278 | WARN  | local-tagion: Sender not found
1673363279 | WARN  | local-tagion: Sender not found
1673363279 | WARN  | local-tagion: Sender not found
1673363283 | WARN  | local-tagion: Sender not found
1673363284 | WARN  | local-tagion: Sender not found
1673363286 | WARN  | local-tagion: Sender not found
1673363287 | WARN  | local-tagion: Sender not found
1673363287 | WARN  | local-tagion: Sender not found
1673363292 | WARN  | local-tagion: Sender not found
1673363294 | WARN  | local-tagion: Sender not found
1673363296 | WARN  | local-tagion: Sender not found
1673363297 | WARN  | local-tagion: Sender not found
1673363298 | WARN  | local-tagion: Sender not found
1673363299 | WARN  | local-tagion: Sender not found
1673363300 | WARN  | local-tagion: Sender not found
1673363301 | WARN  | local-tagion: Sender not found
1673363303 | WARN  | local-tagion: Sender not found
1673363303 | WARN  | local-tagion: Sender not found
1673363304 | WARN  | local-tagion: Sender not found
1673363305 | WARN  | local-tagion: Sender not found
1673363309 | WARN  | local-tagion: Sender not found
1673363310 | WARN  | local-tagion: Sender not found
1673363311 | WARN  | local-tagion: Sender not found
1673363313 | WARN  | local-tagion: Sender not found
1673363314 | WARN  | local-tagion: Sender not found
1673363316 | WARN  | local-tagion: Sender not found
